"Parasite.species","Host.no","Stage","hosts","hs","var.hs","stage2","maxLCL"
"Anoplocephala magna",1,"1larv",3,1,0,"larva",2
"Anoplocephala magna",2,"adult",2,1,0,"adult",2
"Anoplocephala manubriata",1,"1larv",5,2.6,0.64,"larva",2
"Anoplocephala manubriata",2,"adult",2,2,0,"adult",2
"Anoplocephala perfoliata",1,"1larv",1,1,NA,"larva",2
"Anoplocephala perfoliata",2,"adult",1,1,NA,"adult",2
"Anoplotaenia dasyuri",1,"1larv",3,2.66666666666667,0.222222222222222,"larva",2
"Anoplotaenia dasyuri",2,"adult",4,3.5,0.583333333333333,"adult",2
"Aonchotheca bovis",1,"adult",6,2.6,0.24,"adult",1
"Aonchotheca bursata",1,"1larv",7,NA,NA,"larva",2
"Aonchotheca bursata",2,"adult",3,2,0,"adult",2
"Aonchotheca caudinflata",1,"1larv",9,NA,NA,"larva",2
"Aonchotheca caudinflata",2,"adult",1,1,NA,"adult",2
"Aonchotheca erinacei",1,"1larv",2,2,0,"larva",2
"Aonchotheca erinacei",2,"adult",1,1,NA,"adult",2
"Aonchotheca putorii",1,"1larv",1,NA,NA,"larva",2
"Aonchotheca putorii",2,"adult",12,2.36363636363636,0.413223140495868,"adult",2
"Aplectana courdurieri",1,"adult",1,1,NA,"adult",2
"Aplectana courdurieri",2,"adult",1,1,NA,"adult",2
"Aplectana macintoshii",1,"adult",21,3.14761904761905,0.98297052154195,"adult",1
"Aploparaksis australis",1,"1larv",8,NA,NA,"larva",2
"Aploparaksis australis",2,"adult",5,1.7,0.21,"adult",2
"Aploparaksis birulai",1,"1larv",1,1,NA,"larva",2
"Aploparaksis birulai",2,"adult",3,2,0,"adult",2
"Aploparaksis brachyphallos",1,"1larv",2,2,0,"larva",2
"Aploparaksis brachyphallos",2,"adult",10,2.62222222222222,0.279506172839506,"adult",2
"Aploparaksis crassirostris",1,"1larv",2,4,0,"larva",2
"Aploparaksis crassirostris",2,"adult",5,2.3,0.41,"adult",2
"Aploparaksis demshini",1,"1larv",5,NA,NA,"larva",2
"Aploparaksis demshini",2,"adult",1,1,NA,"adult",2
"Aploparaksis filum",1,"1larv",2,1,NA,"larva",2
"Aploparaksis filum",2,"adult",5,1.4,0.24,"adult",2
"Aploparaksis furcigera",1,"1larv",1,1,NA,"larva",2
"Aploparaksis furcigera",2,"adult",6,1,0,"adult",2
"Aploparaksis kornyushini",1,"1larv",1,1,NA,"larva",2
"Aploparaksis kornyushini",2,"adult",1,1,NA,"adult",2
"Aploparaksis orientalis",1,"1larv",2,1,0,"larva",2
"Aploparaksis orientalis",2,"adult",1,1,NA,"adult",2
"Aploparaksis penetrans",1,"1larv",3,2,0,"larva",2
"Aploparaksis penetrans",2,"adult",2,2,0,"adult",2
"Aploparaksis pseudofilum",1,"1larv",7,2.53333333333333,0.248888888888889,"larva",2
"Aploparaksis pseudofilum",2,"adult",4,1.5,0.25,"adult",2
"Aploparaksis rissae",1,"1larv",4,3.5,0.583333333333333,"larva",2
"Aploparaksis rissae",2,"adult",4,2.33333333333333,0.555555555555556,"adult",2
"Aploparaksis sinensis",1,"1larv",6,NA,NA,"larva",2
"Aploparaksis sinensis",2,"adult",1,1,NA,"adult",2
"Aporhynchus norvegicus",1,"1larv",1,1,NA,"larva",3
"Aporhynchus norvegicus",2,"2larv",1,1,NA,"larva",3
"Aporhynchus norvegicus",3,"adult",1,1,NA,"adult",3
"Aprostatandrya cricetuli",1,"1larv",2,3,0,"larva",2
"Aprostatandrya cricetuli",2,"adult",1,1,NA,"adult",2
