"Parasite.species","Host.no","Stage","hosts","hs","var.hs","stage2","maxLCL"
"Corynosoma magdaleni",2,"2larv",4,3.16666666666667,1.13888888888889,"larva",3
"Corynosoma magdaleni",3,"adult",2,2,0,"adult",3
"Corynosoma pseudohamanni",1,"1larv",1,NA,NA,"larva",3
"Corynosoma pseudohamanni",2,"2larv",5,1.66666666666667,0.222222222222222,"larva",3
"Corynosoma pseudohamanni",3,"adult",2,2,0,"adult",3
"Corynosoma semerme",1,"1larv",1,1,NA,"larva",3
"Corynosoma semerme",2,"2larv",6,3.46666666666667,0.648888888888889,"larva",3
"Corynosoma semerme",3,"adult",5,3.1,0.69,"adult",3
"Corynosoma strumosum",1,"1larv",1,1,NA,"larva",3
"Corynosoma strumosum",2,"2larv",6,3.46666666666667,0.648888888888889,"larva",3
"Corynosoma strumosum",3,"adult",6,2.2,0.426666666666667,"adult",3
"Cosmocephalus obvelatus",1,"1larv",4,3.5,0.25,"larva",3
"Cosmocephalus obvelatus",2,"2larv",6,3.53333333333333,0.648888888888889,"larva",3
"Cosmocephalus obvelatus",3,"adult",6,2.66666666666667,2.08888888888889,"adult",3
"Crenosoma mephitidis",1,"1larv",9,2.85714285714286,0.193877551020408,"larva",3
"Crenosoma mephitidis",2,"2larv",4,4.66666666666667,0.555555555555555,"larva",3
"Crenosoma mephitidis",3,"adult",3,2.66666666666667,0.222222222222222,"adult",3
"Crenosoma striatum",1,"1larv",19,3.28758169934641,0.66239480541672,"larva",2
"Crenosoma striatum",2,"adult",1,1,NA,"adult",2
"Crenosoma vulpis",1,"1larv",14,2.79487179487179,0.291255752794214,"larva",2
"Crenosoma vulpis",2,"adult",7,2.26666666666667,0.328888888888889,"adult",2
"Ctenotaenia marmotae",1,"1larv",2,1,0,"larva",2
"Ctenotaenia marmotae",2,"adult",1,1,NA,"adult",2
"Cucullanus chabaudi",1,"adult",1,1,NA,"adult",1
"Cucullanus heterochrous",1,"1larv",5,3.7,0.81,"larva",2
"Cucullanus heterochrous",2,"adult",7,2.28571428571429,0.204081632653061,"adult",2
"Cyathocephalus truncatus",1,"1larv",8,1.92857142857143,0.566326530612245,"larva",2
"Cyathocephalus truncatus",2,"adult",8,2.42857142857143,0.887755102040816,"adult",2
"Cyathostoma bronchialis",1,"1larv",10,1.53333333333333,0.248888888888889,"larva",2
"Cyathostoma bronchialis",2,"adult",3,2,0,"adult",2
"Cyathostoma lari",1,"1larv",5,NA,NA,"larva",2
"Cyathostoma lari",2,"adult",11,3.47272727272727,0.867438016528926,"adult",2
"Cyathostomum catinatum",1,"adult",5,1,0,"adult",1
"Cyclodontostomum purvisi",1,"adult",8,2,0,"adult",1
"Cylicocyclus nassatus",1,"adult",5,1,0,"adult",1
"Cylicostephanus longibursatus",1,"adult",5,1,0,"adult",1
"Cyrnea colini",1,"1larv",2,4,0,"larva",2
"Cyrnea colini",2,"adult",4,2.66666666666667,0.222222222222222,"adult",2
"Cyrnea eurycerca",1,"1larv",1,1,NA,"larva",2
"Cyrnea eurycerca",2,"adult",1,1,NA,"adult",2
"Cyrnea mansioni",1,"1larv",1,1,NA,"larva",3
"Cyrnea mansioni",2,"2larv",1,1,NA,"larva",3
"Cyrnea mansioni",3,"adult",2,2,0,"adult",3
"Cystidicola cristivomeri",1,"1larv",1,1,NA,"larva",3
"Cystidicola cristivomeri",2,"adult",3,1,0,"adult",3
"Cystidicola cristivomeri",3,"adult",1,1,NA,"adult",3
"Cystidicola farionis",1,"1larv",4,2.66666666666667,0.555555555555556,"larva",3
"Cystidicola farionis",2,"adult",15,2.08571428571429,0.706938775510204,"adult",3
"Cystidicola farionis",3,"adult",1,1,NA,"adult",3
"Cystidicoloides tenuissima",1,"1larv",7,2.53333333333333,0.382222222222222,"larva",3
"Cystidicoloides tenuissima",2,"2larv",2,1,NA,"larva",3
"Cystidicoloides tenuissima",3,"adult",4,1.83333333333333,0.138888888888889,"adult",3
"Cystocaulus ocreatus",1,"1larv",26,2.72666666666667,0.305288888888889,"larva",2
"Cystocaulus ocreatus",2,"adult",2,2,0,"adult",2
"Cystoopsis acipenseri",1,"1larv",3,1.66666666666667,0.222222222222222,"larva",2
"Cystoopsis acipenseri",2,"adult",2,1,0,"adult",2
"Davainea proglottina",1,"1larv",12,2.55555555555556,0.691358024691358,"larva",2
"Davainea proglottina",2,"adult",1,1,NA,"adult",2
"Davainea tetraoensis",1,"1larv",3,3,0,"larva",2
"Davainea tetraoensis",2,"adult",2,2,0,"adult",2
"Dentitruncus truttae",1,"1larv",3,1.66666666666667,0.222222222222222,"larva",2
"Dentitruncus truttae",2,"adult",2,2,0,"adult",2
"Desportesius invaginatus",1,"1larv",2,1,NA,"larva",3
"Desportesius invaginatus",2,"2larv",3,4.66666666666667,0.222222222222222,"larva",3
"Desportesius invaginatus",3,"adult",3,1.66666666666667,0.222222222222222,"adult",3
"Dichelyne bullocki",1,"adult",1,1,NA,"adult",1
"Dichelyne cotylophora",1,"1larv",1,1,NA,"larva",2
"Dichelyne cotylophora",2,"adult",2,2,0,"adult",2
"Dichelyne minutus",1,"1larv",1,1,NA,"larva",2
"Dichelyne minutus",2,"adult",3,3.33333333333333,0.888888888888889,"adult",2
"Dichoanotaenia gallinagilis",1,"1larv",1,1,NA,"larva",2
"Dichoanotaenia gallinagilis",2,"adult",1,1,NA,"adult",2
"Dicranotaenia coronula",1,"1larv",13,3.48717948717949,1.66009204470743,"larva",3
"Dicranotaenia coronula",2,"2larv",3,3,2,"larva",3
"Dicranotaenia coronula",3,"adult",10,1.64444444444444,0.229135802469136,"adult",3
"Dictyocaulus arnfieldi",1,"adult",2,1,0,"adult",1
"Dictyocaulus eckerti",1,"adult",4,2.5,0.25,"adult",1
"Dictyocaulus filaria",1,"adult",2,2,0,"adult",1
"Dictyocaulus viviparus",1,"adult",2,3,0,"adult",1
"Didelphostrongylus hayesi",1,"1larv",2,2,0,"larva",2
"Didelphostrongylus hayesi",2,"adult",2,1,0,"adult",2
"Dilepis undula",1,"1larv",2,2,0,"larva",2
"Dilepis undula",2,"adult",16,3.35,1.84416666666667,"adult",2
"Dioctophyma renale",1,"1larv",1,1,NA,"larva",3
"Dioctophyma renale",2,"2larv",20,4.04575163398693,1.06326626511171,"larva",3
"Dioctophyma renale",3,"adult",10,2.88888888888889,0.587654320987654,"adult",3
"Dioecotaenia cancellata",1,"1larv",3,4.66666666666667,0.222222222222222,"larva",2
"Dioecotaenia cancellata",2,"adult",1,1,NA,"adult",2
"Diorchis asiatica",1,"1larv",4,2.33333333333333,0.555555555555556,"larva",2
"Diorchis asiatica",2,"adult",4,1,0,"adult",2
"Diorchis brevis",1,"1larv",1,1,NA,"larva",2
"Diorchis brevis",2,"adult",1,1,NA,"adult",2
"Diorchis bulbodes",1,"1larv",1,1,NA,"larva",2
"Diorchis bulbodes",2,"adult",4,1.5,0.25,"adult",2
"Diorchis danutae",1,"1larv",4,2.66666666666667,0.222222222222222,"larva",2
"Diorchis danutae",2,"adult",5,1.7,0.21,"adult",2
"Diorchis inflata",1,"1larv",5,4,1.6,"larva",3
"Diorchis inflata",2,"2larv",4,2.5,2.25,"larva",3
"Diorchis inflata",3,"adult",4,2.5,2.25,"adult",3
"Diorchis nyrocae",1,"1larv",9,3.69444444444444,2.26774691358025,"larva",3
"Diorchis nyrocae",2,"2larv",2,4,0,"larva",3
"Diorchis nyrocae",3,"adult",7,1.57142857142857,0.244897959183673,"adult",3
"Diorchis parvogenitalis",1,"1larv",1,1,NA,"larva",2
"Diorchis parvogenitalis",2,"adult",5,1.6,0.24,"adult",2
"Diorchis ransomi",1,"1larv",8,3.82142857142857,1.8609693877551,"larva",3
"Diorchis ransomi",2,"2larv",3,3,2,"larva",3
"Diorchis ransomi",3,"adult",4,2.5,2.25,"adult",3
"Diphyllobothrium dendriticum",1,"1larv",8,2.71428571428571,2.20408163265306,"larva",4
"Diphyllobothrium dendriticum",2,"2larv",13,2.46969696969697,1.12786960514233,"larva",4
"Diphyllobothrium dendriticum",3,"3larv",8,1.71428571428571,0.204081632653061,"larva",4
"Diphyllobothrium dendriticum",4,"adult",9,3.21428571428571,2.66836734693878,"adult",4
"Diphyllobothrium latum",1,"1larv",15,2.71428571428571,1.80408163265306,"larva",4
"Diphyllobothrium latum",2,"2larv",10,3.46666666666667,0.915555555555556,"larva",4
"Diphyllobothrium latum",3,"3larv",3,4,0,"larva",4
"Diphyllobothrium latum",4,"adult",2,4,0,"adult",4
"Diphyllobothrium nihonkaiense",1,"1larv",1,1,NA,"larva",4
"Diphyllobothrium nihonkaiense",2,"2larv",4,1.5,0.25,"larva",4
"Diphyllobothrium nihonkaiense",3,"3larv",1,1,NA,"larva",4
"Diphyllobothrium nihonkaiense",4,"adult",2,4,0,"adult",4
"Diplocotyle olrikii",1,"1larv",11,2.5,0.527777777777778,"larva",2
"Diplocotyle olrikii",2,"adult",19,3.47058823529412,0.837370242214533,"adult",2
"Diplogonoporus balaenopterae",1,"1larv",2,4,0,"larva",3
"Diplogonoporus balaenopterae",2,"2larv",3,3.66666666666667,0.222222222222222,"larva",3
"Diplogonoporus balaenopterae",3,"adult",5,3.3,1.21,"adult",3
"Diploposthe laevis",1,"1larv",5,3.1,2.49,"larva",3
"Diploposthe laevis",2,"2larv",5,2.2,2.16,"larva",3
"Diploposthe laevis",3,"adult",5,1.6,0.24,"adult",3
"Diploposthe skrjabini",1,"1larv",6,3.6,2.37333333333333,"larva",2
"Diploposthe skrjabini",2,"adult",1,1,NA,"adult",2
"Diplotriaena agelaius",1,"1larv",1,1,NA,"larva",2
"Diplotriaena agelaius",2,"adult",1,1,NA,"adult",2
"Diplotriaena bargusinica",1,"1larv",3,1.66666666666667,0.222222222222222,"larva",2
"Diplotriaena bargusinica",2,"adult",1,1,NA,"adult",2
"Diplotriaena sokolowi",1,"1larv",1,1,NA,"larva",2
"Diplotriaena sokolowi",2,"adult",1,1,NA,"adult",2
"Diplotriaena tricuspis",1,"1larv",2,2,0,"larva",2
"Diplotriaena tricuspis",2,"adult",1,1,NA,"adult",2
"Diplotriaena tridens",1,"1larv",1,1,NA,"larva",2
"Diplotriaena tridens",2,"adult",1,1,NA,"adult",2
"Dipylidium caninum",1,"1larv",4,4,0,"larva",2
"Dipylidium caninum",2,"adult",4,2.33333333333333,0.555555555555556,"adult",2
"Dispharynx nasuta",1,"1larv",4,2.83333333333333,0.138888888888889,"larva",2
"Dispharynx nasuta",2,"adult",4,3.33333333333333,0.555555555555556,"adult",2
"Dollfusentis chandleri",1,"1larv",3,2,0,"larva",2
"Dollfusentis chandleri",2,"adult",9,4,0.666666666666667,"adult",2
"Dracunculus insignis",1,"1larv",2,2,0,"larva",3
"Dracunculus insignis",2,"2larv",3,3,0,"larva",3
"Dracunculus insignis",3,"adult",6,3.33333333333333,0.888888888888889,"adult",3
"Dracunculus medinensis",1,"1larv",5,1.8,0.16,"larva",2
"Dracunculus medinensis",2,"adult",4,3.66666666666667,0.222222222222222,"adult",2
"Dracunculus ophidensis",1,"1larv",1,1,NA,"larva",3
"Dracunculus ophidensis",2,"2larv",1,NA,NA,"larva",3
"Dracunculus ophidensis",3,"adult",2,2,0,"adult",3
"Drepanidotaenia bisacculina",1,"1larv",1,1,NA,"larva",2
"Drepanidotaenia bisacculina",2,"adult",1,1,NA,"adult",2
"Drepanidotaenia lanceolata",1,"1larv",11,1.83636363636364,0.136859504132231,"larva",2
"Drepanidotaenia lanceolata",2,"adult",4,2,0,"adult",2
"Duplicibothrium minutum",1,"1larv",4,4,1,"larva",2
"Duplicibothrium minutum",2,"adult",1,1,NA,"adult",2
"Echinobothrium affine",1,"1larv",2,3,0,"larva",2
"Echinobothrium affine",2,"adult",4,1,0,"adult",2
"Echinobothrium benedeni",1,"1larv",1,1,NA,"larva",2
"Echinobothrium benedeni",2,"adult",1,1,NA,"adult",2
"Echinobothrium chisholmae",1,"1larv",1,1,NA,"larva",2
"Echinobothrium chisholmae",2,"adult",1,1,NA,"adult",2
"Echinobothrium lateroporum",1,"1larv",3,5,2,"larva",2
"Echinobothrium lateroporum",2,"adult",1,1,NA,"adult",2
"Echinobothrium reesae",1,"1larv",1,1,NA,"larva",2
"Echinobothrium reesae",2,"adult",2,1,0,"adult",2
"Echinobothrium typus",1,"1larv",2,3,0,"larva",2
"Echinobothrium typus",2,"adult",5,3,1.8,"adult",2
"Echinocephalus overstreeti",1,"1larv",2,2,0,"larva",2
"Echinocephalus overstreeti",2,"adult",6,3.8,0.16,"adult",2
"Echinocephalus pseudouncinatus",1,"1larv",3,4.33333333333333,5.55555555555555,"larva",2
"Echinocephalus pseudouncinatus",2,"adult",2,4,0,"adult",2
"Echinocephalus sinensis",1,"1larv",1,1,NA,"larva",2
"Echinocephalus sinensis",2,"adult",2,1,0,"adult",2
"Echinocephalus uncinatus",1,"1larv",2,5,0,"larva",2
"Echinocephalus uncinatus",2,"adult",2,3,0,"adult",2
"Echinococcus borealis",1,"1larv",2,2,0,"larva",2
"Echinococcus borealis",2,"adult",2,1,0,"adult",2
"Echinococcus canadensis",1,"1larv",5,1.9,0.09,"larva",2
"Echinococcus canadensis",2,"adult",3,1.66666666666667,0.222222222222222,"adult",2
"Echinococcus equinus",1,"1larv",1,1,NA,"larva",2
"Echinococcus equinus",2,"adult",1,1,NA,"adult",2
"Echinococcus felidis",1,"1larv",1,1,NA,"larva",2
"Echinococcus felidis",2,"adult",2,3,0,"adult",2
"Echinococcus granulosus",1,"1larv",9,3.5,0.638888888888889,"larva",2
"Echinococcus granulosus",2,"adult",2,1,0,"adult",2
"Echinococcus intermedius",1,"1larv",5,3.3,0.41,"larva",2
"Echinococcus intermedius",2,"adult",1,1,NA,"adult",2
"Echinococcus multilocularis",1,"1larv",7,2.42857142857143,1.10204081632653,"larva",2
"Echinococcus multilocularis",2,"adult",8,2.0952380952381,0.467120181405896,"adult",2
"Echinococcus oligarthrus",1,"1larv",7,3.33333333333333,0.793650793650794,"larva",2
"Echinococcus oligarthrus",2,"adult",6,1.86666666666667,0.115555555555556,"adult",2
"Echinococcus ortleppi",1,"1larv",4,3.33333333333333,0.555555555555556,"larva",2
"Echinococcus ortleppi",2,"adult",2,1,0,"adult",2
"Echinococcus shiquicus",1,"1larv",1,1,NA,"larva",2
"Echinococcus shiquicus",2,"adult",2,2,0,"adult",2
"Echinococcus vogeli",1,"1larv",3,3.66666666666667,0.222222222222222,"larva",2
"Echinococcus vogeli",2,"adult",2,2,0,"adult",2
"Echinocotyle clanguli",1,"1larv",2,1,0,"larva",2
"Echinocotyle clanguli",2,"adult",1,1,NA,"adult",2
"Echinocotyle clerci",1,"1larv",1,1,NA,"larva",2
"Echinocotyle clerci",2,"adult",2,1,0,"adult",2
"Echinocotyle druzniensis",1,"1larv",5,1.9,0.09,"larva",2
"Echinocotyle druzniensis",2,"adult",2,2,0,"adult",2
"Echinocotyle rosseteri",1,"1larv",1,1,NA,"larva",3
"Echinocotyle rosseteri",2,"2larv",6,2.8,2.16,"larva",3
"Echinocotyle rosseteri",3,"adult",7,1,0,"adult",3
"Echinorhynchus borealis",1,"1larv",3,3,0,"larva",2
"Echinorhynchus borealis",2,"adult",6,4,0,"adult",2
"Echinorhynchus bothniensis",1,"1larv",1,1,NA,"larva",2
"Echinorhynchus bothniensis",2,"adult",7,3.42857142857143,0.816326530612245,"adult",2
"Echinorhynchus gadi",1,"1larv",7,2.85714285714286,0.217687074829932,"larva",3
"Echinorhynchus gadi",2,"adult",6,3.2,0.96,"adult",3
"Echinorhynchus gadi",3,"adult",1,1,NA,"adult",3
"Echinorhynchus lageniformis",1,"1larv",1,1,NA,"larva",2
"Echinorhynchus lageniformis",2,"adult",3,2,0,"adult",2
"Echinorhynchus leidyi",1,"1larv",1,1,NA,"larva",2
"Echinorhynchus leidyi",2,"adult",1,1,NA,"adult",2
"Echinorhynchus salmonis",1,"1larv",4,2.5,0.583333333333333,"larva",3
"Echinorhynchus salmonis",2,"adult",12,3.39393939393939,1.02662993572084,"adult",3
"Echinorhynchus salmonis",3,"adult",7,1.66666666666667,0.222222222222222,"adult",3
"Echinorhynchus sp.",1,"1larv",1,1,NA,"larva",2
"Echinorhynchus sp.",2,"adult",1,1,NA,"adult",2
"Echinorhynchus truttae",1,"1larv",2,2,0,"larva",2
"Echinorhynchus truttae",2,"adult",3,2,0,"adult",2
"Echinuria uncinata",1,"1larv",12,3.81818181818182,1.45179063360882,"larva",2
"Echinuria uncinata",2,"adult",7,1.85714285714286,0.122448979591837,"adult",2
"Elaphostrongylus alces",1,"1larv",2,3,0,"larva",2
"Elaphostrongylus alces",2,"adult",2,2,0,"adult",2
"Elaphostrongylus cervi",1,"1larv",18,2.83333333333333,0.272222222222222,"larva",2
"Elaphostrongylus cervi",2,"adult",3,1.66666666666667,0.222222222222222,"adult",2
"Elaphostrongylus rangiferi",1,"1larv",4,NA,NA,"larva",2
"Elaphostrongylus rangiferi",2,"adult",2,2,0,"adult",2
"Enterobius vermicularis",1,"adult",1,1,NA,"adult",1
"Epomidiostomum uncinatum",1,"adult",6,2,2,"adult",1
"Equinia mamillana",1,"1larv",7,2.57142857142857,0.530612244897959,"larva",2
"Equinia mamillana",2,"adult",1,1,NA,"adult",2
"Eubothrium crassum",1,"1larv",3,3,2,"larva",3
"Eubothrium crassum",2,"2larv",2,3,0,"larva",3
"Eubothrium crassum",3,"adult",8,1.85714285714286,0.122448979591837,"adult",3
"Eubothrium rugosum",1,"1larv",4,1.66666666666667,0.222222222222222,"larva",3
"Eubothrium rugosum",2,"2larv",1,1,NA,"larva",3
"Eubothrium rugosum",3,"adult",1,1,NA,"adult",3
"Eubothrium salvelini",1,"1larv",7,1.28571428571429,0.204081632653061,"larva",3
"Eubothrium salvelini",2,"2larv",2,4,0,"larva",3
"Eubothrium salvelini",3,"adult",9,1.86111111111111,0.119598765432099,"adult",3
"Eucoleus aerophilus",1,"1larv",4,1.66666666666667,0.222222222222222,"larva",2
"Eucoleus aerophilus",2,"adult",6,2.66666666666667,0.355555555555556,"adult",2
"Eucoleus annulatus",1,"1larv",4,NA,NA,"larva",2
"Eucoleus annulatus",2,"adult",4,2,0,"adult",2
"Eucoleus contortus",1,"1larv",2,NA,NA,"larva",2
"Eucoleus contortus",2,"adult",13,3.29487179487179,0.951512163050625,"adult",2
"Eucoleus frugilegi",1,"1larv",2,2,0,"larva",2
"Eucoleus frugilegi",2,"adult",2,1,0,"adult",2
"Eurycestus avoceti",1,"1larv",2,1,0,"larva",2
"Eurycestus avoceti",2,"adult",3,1.66666666666667,0.222222222222222,"adult",2
"Eustrongylides excisus",1,"1larv",3,3.33333333333333,0.888888888888889,"larva",3
"Eustrongylides excisus",2,"2larv",14,3.79120879120879,0.868494143219418,"larva",3
"Eustrongylides excisus",3,"adult",2,4,0,"adult",3
"Eustrongylides ignotus",1,"1larv",1,1,NA,"larva",4
"Eustrongylides ignotus",2,"2larv",7,3,0.571428571428571,"larva",4
"Eustrongylides ignotus",3,"3larv",5,2.7,1.21,"larva",4
"Eustrongylides ignotus",4,"adult",4,2.83333333333333,1.47222222222222,"adult",4
"Eustrongylides tubifex",1,"1larv",2,2,0,"larva",4
"Eustrongylides tubifex",2,"2larv",6,3.6,0.64,"larva",4
"Eustrongylides tubifex",3,"3larv",6,3.13333333333333,1.18222222222222,"larva",4
"Eustrongylides tubifex",4,"adult",5,3.3,1.21,"adult",4
"Fessisentis fessus",1,"1larv",2,2,0,"larva",2
"Fessisentis fessus",2,"adult",2,5,0,"adult",2
"Fessisentis friedi",1,"1larv",1,1,NA,"larva",2
"Fessisentis friedi",2,"adult",2,4,0,"adult",2
"Fessisentis necturorum",1,"1larv",1,1,NA,"larva",2
"Fessisentis necturorum",2,"adult",4,3,0,"adult",2
"Filaroides hirthi",1,"adult",1,1,NA,"adult",1
"Filaroides martis",1,"1larv",8,3.47619047619048,0.249433106575964,"larva",3
"Filaroides martis",2,"2larv",5,3.5,0.45,"larva",3
"Filaroides martis",3,"adult",2,2,0,"adult",3
"Filicollis anatis",1,"1larv",1,1,NA,"larva",2
"Filicollis anatis",2,"adult",5,2.8,0.96,"adult",2
"Fimbriaria fasciolaris",1,"1larv",14,3.86813186813187,1.96063277381959,"larva",3
"Fimbriaria fasciolaris",2,"2larv",4,2.5,2.25,"larva",3
"Fimbriaria fasciolaris",3,"adult",17,1.66176470588235,0.223832179930796,"adult",3
"Fimbriarioides intermedia",1,"1larv",6,3.6,2.37333333333333,"larva",2
"Fimbriarioides intermedia",2,"adult",2,2,0,"adult",2
"Fimbriarioides tadornae",1,"1larv",3,1,0,"larva",2
"Fimbriarioides tadornae",2,"adult",1,1,NA,"adult",2
"Flamingolepis dolguschini",1,"1larv",2,3,0,"larva",2
"Flamingolepis dolguschini",2,"adult",2,1,NA,"adult",2
"Flamingolepis flamingo",1,"1larv",2,1,0,"larva",2
"Flamingolepis flamingo",2,"adult",1,1,NA,"adult",2
"Flamingolepis liguloides",1,"1larv",2,1,0,"larva",2
"Flamingolepis liguloides",2,"adult",1,1,NA,"adult",2
"Flamingolepis tengizi",1,"1larv",2,3,0,"larva",2
"Flamingolepis tengizi",2,"adult",2,1,NA,"adult",2
"Gallegostrongylus australis",1,"1larv",6,2.73333333333333,0.328888888888889,"larva",2
"Gallegostrongylus australis",2,"adult",5,1.4,0.24,"adult",2
"Gangesia parasiluri",1,"1larv",1,1,NA,"larva",3
"Gangesia parasiluri",2,"2larv",2,2,0,"larva",3
"Gangesia parasiluri",3,"adult",1,1,NA,"adult",3
"Gastrotaenia paracygni",1,"1larv",1,1,NA,"larva",2
"Gastrotaenia paracygni",2,"adult",1,1,NA,"adult",2
"Geopetitia aspiculata",1,"1larv",3,3.33333333333333,0.888888888888889,"larva",2
"Geopetitia aspiculata",2,"adult",17,3.11666666666667,0.386388888888889,"adult",2
"Glaridacris catostomi",1,"1larv",7,1.93333333333333,0.0622222222222222,"larva",2
"Glaridacris catostomi",2,"adult",2,1,0,"adult",2
"Glaridacris confusa",1,"1larv",6,2,0,"larva",2
"Glaridacris confusa",2,"adult",4,1.5,0.25,"adult",2
"Glaridacris vogei",1,"1larv",3,1.66666666666667,0.222222222222222,"larva",2
"Glaridacris vogei",2,"adult",3,1,0,"adult",2
"Gnathostoma binucleatum",1,"1larv",8,1.78571428571429,0.168367346938776,"larva",4
"Gnathostoma binucleatum",2,"2larv",13,3.67948717948718,1.11522024983563,"larva",4
"Gnathostoma binucleatum",3,"3larv",5,4.83333333333333,0.138888888888889,"larva",4
"Gnathostoma binucleatum",4,"adult",3,2.66666666666667,0.222222222222222,"adult",4
"Gnathostoma doloresi",1,"1larv",6,1.93333333333333,0.0622222222222222,"larva",4
"Gnathostoma doloresi",2,"2larv",6,4.26666666666667,1.26222222222222,"larva",4
"Gnathostoma doloresi",3,"3larv",7,2.52380952380952,0.344671201814059,"larva",4
"Gnathostoma doloresi",4,"adult",1,1,NA,"adult",4
"Gnathostoma hispidum",1,"1larv",10,1.91111111111111,0.0809876543209877,"larva",4
"Gnathostoma hispidum",2,"2larv",9,4.58333333333333,0.798611111111111,"larva",4
"Gnathostoma hispidum",3,"3larv",12,4.24444444444444,0.584691358024691,"larva",4
"Gnathostoma hispidum",4,"adult",1,1,NA,"adult",4
"Gnathostoma lamothei",1,"1larv",1,1,NA,"larva",4
"Gnathostoma lamothei",2,"2larv",8,4.66666666666667,0.622222222222222,"larva",4
"Gnathostoma lamothei",3,"3larv",3,2,0,"larva",4
"Gnathostoma lamothei",4,"adult",1,1,NA,"adult",4
"Gnathostoma nipponicum",1,"1larv",6,2,0,"larva",4
"Gnathostoma nipponicum",2,"2larv",9,4.60714285714286,0.595663265306123,"larva",4
"Gnathostoma nipponicum",3,"3larv",7,4.13333333333333,1.58222222222222,"larva",4
"Gnathostoma nipponicum",4,"adult",1,1,NA,"adult",4
"Gnathostoma procyonis",1,"1larv",3,1.66666666666667,0.222222222222222,"larva",4
"Gnathostoma procyonis",2,"2larv",1,1,NA,"larva",4
"Gnathostoma procyonis",3,"3larv",10,3.77777777777778,0.928395061728395,"larva",4
"Gnathostoma procyonis",4,"adult",1,1,NA,"adult",4
"Gnathostoma spinigerum",1,"1larv",5,1.8,0.16,"larva",4
"Gnathostoma spinigerum",2,"2larv",27,4.16615384615385,0.661623668639053,"larva",4
"Gnathostoma spinigerum",3,"3larv",31,4.53978494623656,0.510782749450804,"larva",4
"Gnathostoma spinigerum",4,"adult",5,2.3,0.41,"adult",4
"Gnathostoma turgidum",1,"1larv",2,2,0,"larva",3
"Gnathostoma turgidum",2,"2larv",8,4.57142857142857,1.00680272108844,"larva",3
"Gnathostoma turgidum",3,"adult",2,1,0,"adult",3
"Goezia ascaroides",1,"1larv",1,1,NA,"larva",3
"Goezia ascaroides",2,"2larv",4,2,0,"larva",3
"Goezia ascaroides",3,"adult",4,3.66666666666667,0.555555555555556,"adult",3
"Golvanacanthus blennii",1,"1larv",1,1,NA,"larva",2
"Golvanacanthus blennii",2,"adult",7,3.28571428571429,1.3469387755102,"adult",2
"Gongylonema brevispiculum",1,"1larv",1,1,NA,"larva",2
"Gongylonema brevispiculum",2,"adult",2,4,0,"adult",2
"Gongylonema congolense",1,"1larv",1,1,NA,"larva",2
"Gongylonema congolense",2,"adult",4,3.33333333333333,0.555555555555556,"adult",2
"Gongylonema dupuisi",1,"1larv",1,1,NA,"larva",2
"Gongylonema dupuisi",2,"adult",1,1,NA,"adult",2
"Gongylonema ingluvicola",1,"1larv",4,3,1,"larva",2
"Gongylonema ingluvicola",2,"adult",3,2.66666666666667,0.222222222222222,"adult",2
"Gongylonema mucronatum",1,"1larv",1,1,NA,"larva",2
"Gongylonema mucronatum",2,"adult",1,1,NA,"adult",2
"Gongylonema neoplasticum",1,"1larv",5,3.5,0.85,"larva",2
"Gongylonema neoplasticum",2,"adult",4,3.33333333333333,0.555555555555556,"adult",2
"Gongylonema problematicum",1,"1larv",2,4,0,"larva",2
"Gongylonema problematicum",2,"adult",2,1,0,"adult",2
"Gongylonema pulchrum",1,"1larv",26,2.49846153846154,0.877689940828402,"larva",2
"Gongylonema pulchrum",2,"adult",10,3.64444444444444,0.495802469135802,"adult",2
"Gongylonema soricis",1,"1larv",1,1,NA,"larva",2
"Gongylonema soricis",2,"adult",2,1,0,"adult",2
"Graphidium strigosum",1,"adult",3,1.66666666666667,0.222222222222222,"adult",1
"Grillotia erinaceus",1,"1larv",4,3,0,"larva",3
"Grillotia erinaceus",2,"2larv",18,3.75735294117647,0.374945934256055,"larva",3
"Grillotia erinaceus",3,"adult",7,2.23809523809524,1.41950113378685,"adult",3
"Gynandrotaenia stammeri",1,"1larv",2,1,0,"larva",2
"Gynandrotaenia stammeri",2,"adult",2,1,0,"adult",2
"Gyrinicola batrachiensis",1,"adult",8,2.66666666666667,0.555555555555556,"adult",1
"Hadjelia truncata",1,"1larv",4,1.83333333333333,0.138888888888889,"larva",2
"Hadjelia truncata",2,"adult",4,4,0,"adult",2
"Haemonchus contortus",1,"adult",5,2.4,0.24,"adult",1
"Haemonchus placei",1,"adult",2,2,0,"adult",1
"Hammerschmidtiella diesingi",1,"adult",1,1,NA,"adult",1
"Haplobothrium globuliforme",1,"1larv",1,1,NA,"larva",3
"Haplobothrium globuliforme",2,"2larv",4,4,0,"larva",3
"Haplobothrium globuliforme",3,"adult",1,1,NA,"adult",3
"Hartertia gallinarum",1,"1larv",1,1,NA,"larva",2
"Hartertia gallinarum",2,"adult",1,1,NA,"adult",2
"Hartertia obesa",1,"1larv",1,1,NA,"larva",2
"Hartertia obesa",2,"adult",1,1,NA,"adult",2
"Hassalstrongylus musculi",1,"adult",1,1,NA,"adult",1
"Hedruris androphora",1,"1larv",1,1,NA,"larva",2
"Hedruris androphora",2,"adult",6,3.33333333333333,0.622222222222222,"adult",2
